Price,District,City,Town,Type,EnergyCertificate,Floor,Lift,Parking,HasParking,ConstructionYear,TotalArea,GrossArea,PublishDate,Garage,Elevator,ElectricCarsCharging,TotalRooms,NumberOfBedrooms,NumberOfWC,ConservationStatus,LivingArea,LotSize,BuiltArea,NumberOfBathrooms
55000.0,Coimbra,Figueira da Foz,Alqueidão,Land,NC,,False,0.0,False,,1287.0,,,,,,,,,,1287.0,,,0.0
289000.0,Setúbal,Montijo,Canha,House,D,,False,2.0,True,1986.0,306.0,306.0,,,,,4.0,,,,156.0,,,4.0
46500.0,Lisboa,Lourinhã,Lourinhã e Atalaia,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,2880.0,,0.0
203000.0,Porto,Vila Nova de Gaia,Vilar de Andorinho,Apartment,E,3rd Floor,True,1.0,True,1996.0,118.0,,,,,,2.0,,,,92.0,,,2.0
72500.0,Braga,Cabeceiras de Basto,"Refojos de Basto, Outeiro e Painzela",Land,NC,,,0.0,,,1954.0,,,False,False,False,,,0.0,,,1954.0,,0.0
599000.0,Lisboa,Cascais,Carcavelos e Parede,Apartment,NC,3rd Floor,False,1.0,True,1989.0,151.0,,,,,,3.0,,,,151.0,,,2.0
139000.0,Évora,Reguengos de Monsaraz,Reguengos de Monsaraz,House,F,1st Floor,False,0.0,False,1951.0,147.0,,,,,,4.0,,,,147.0,,,1.0
197500.0,Leiria,Porto de Mós,Pedreiras,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,3346.0,,0.0
34000.0,Faro,São Brás de Alportel,São Brás de Alportel,Land,NC,,,0.0,,,,,,False,False,False,,,0.0,,,3260.0,,0.0
39900.0,Braga,Celorico de Basto,"Britelo, Gémeos e Ourilhe",Store,NC,,False,0.0,False,1990.0,36.0,,,,,,0.0,,,,,,,0.0
41000.0,Aveiro,Oliveira de Azeméis,Ossela,Land,NC,,False,0.0,False,,3710.0,,,,,,,,,,,,,0.0
770000.0,Lisboa,Odivelas,Ramada e Caneças,House,NC,,False,2.0,True,,256.0,,,,,,4.0,,,,120.0,,,4.0
58000.0,Bragança,Bragança,Sortes,House,E,,,0.0,,1982.0,104.0,,,False,False,False,,3.0,0.0,Good condition,104.0,57.0,108.0,1.0
395000.0,Porto,Penafiel,Penafiel,House,C,,,0.0,,2020.0,340.0,,,True,False,False,,3.0,0.0,Good condition,397.0,397.0,397.0,4.0
230000.0,Setúbal,Montijo,Montijo e Afonsoeiro,Apartment,C,Ground Floor,True,1.0,True,2007.0,100.0,,,,,,2.0,,,,93.0,,,2.0
